Model,Battery mAh,Battery Life (hours),Main Camera MP,Optical Zoom,Chip,Apple Intelligence,USB-C,Official CNY Price,Second-hand CNY Price,Camera Score /10,Battery Score /10,Value Score /10,Verdict,数据来源
iPhone 16 Pro Max,4685 mAh,33,48MP,5倍,A18 Pro 芯片,支持,支持,9999元,6534 - 9500元,9.8,10,9,当之无愧的机皇，各项指标均封顶，续航和影像均达到顶峰。,[1-15]
iPhone 16 Pro,3582 mAh,27,48MP,5倍,A18 Pro 芯片,支持,支持,7999元,4723 - 7600元,9.5,8.5,9,专业影像旗舰，5倍光变下放使其竞争力大增，是技术爱好者的理想选择。,"[1-3, 5-15]"
iPhone 16 Plus,4674 mAh,27,48MP,2倍,A18 芯片,支持,支持,6999元,4500 - 6500元,8.2,9.5,9.5,续航之王与性价比之选，适合不需要 Pro 特性但看重电量的大屏用户。,"[1-3, 7-10, 12, 13, 15-17]"
iPhone 16,3561 mAh,22,48MP,2倍,A18 芯片,支持,支持,5999元,4043 - 5600元,8.2,8.2,9,基础款中的 AI 先锋，性能跨度巨大，是目前最值得入手的标准版。,"[1-3, 6-9, 11-13, 15, 16, 18-20]"
iPhone 15 Pro Max,4422 mAh,29,48MP,5倍,A17 Pro 芯片,支持,支持,9999元,5001 - 6800元,9.2,9,8.6,2023年全能旗舰，长焦表现优异，且续航极其坚挺。,"[1-3, 5, 6, 8-14, 16]"
iPhone 15 Pro,3274 mAh,23,48MP,3倍,A17 Pro 芯片,支持,支持,7999元,4369 - 5500元,8.8,7.5,8.5,支持 Apple 智能的最实惠 Pro 机型，性能依然强劲。,"[2, 3, 6, 8-12, 16, 18, 21, 22]"
iPhone 15,3349 mAh,20,48MP,2倍,A16 仿生芯片,不支持,支持,5999元,2796 - 4400元,8.2,7.5,8.5,引入灵动岛与 USB-C 接口，48MP 相机使其在二手市场具有超值吸引力。,"[1-3, 5, 8, 11-13, 16, 21, 23, 24]"
iPhone 14,3279 mAh,20,12MP,2倍,A15 仿生芯片,不支持,不支持,5999元,2360 - 3400元,7.2,7.2,7,相比 13 升级极小，不支持最新 AI 功能使其长远吸引力较为一般。,"[1-3, 5, 8, 11-13, 24]"
iPhone 13,3227 - 3240 mAh,19,12MP,2倍,A15 仿生芯片,不支持,不支持,5999元,1970 - 2800元,7,7,8,经典均衡之作，是极具性价比的二手入门机型，续航较 12 有显著提升。,"[1-3, 5, 8, 11, 12, 24, 25]"
iPhone 12,2815 mAh,17,12MP,2倍,A14 仿生芯片,不支持,不支持,6299元,1387 - 2200元,6.5,6,7,经典的入门级 5G 选择，但续航和性能已显疲态，建议作为备机。,"[1-3, 5, 8, 11, 19, 24]"
